"Beta","CI_L","CI_H","pval","study","name"
"-0.20705062229366","-0.504659691193907","0.0905584466065873","0.172701918689112","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","NO2"
"0.0169002410709956","-0.268040649706505","0.301841131848497","0.907455842678955","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","HEPTACHLOR"
"-0.011339797950963","-0.297326742801612","0.274647146899686","0.938054427701046","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","MESOTRIONE"
"0.442112165918713","0.149454184752735","0.734770147084691","0.00306765658942328","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","PICLORAM"
"-0.374317364421379","-0.676686778675556","-0.0719479501672015","0.0152523147120028","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","MDS"
"0.495588444967949","0.16236105429945","0.828815835636447","0.00355764958877965","EMTAB3027,EMTAB7036,GSE101764,GSE199057,GSE39958,GSE42752,GSE77954,READ","METOLACHLOR"
"0.163486632067489","-0.123831310213907","0.450804574348885","0.26474841104065","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","AHEI"
"-0.0382572916993126","-0.5949274599243","0.518412876525675","0.892849865450135","EMTAB3027,EMTAB7036,GSE101764,GSE199057,GSE39958,GSE42752,GSE77954,READ","PCB"
"-0.728514410843193","-1.06424460933137","-0.39278421235502","2.10921441609814e-05","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","education"
"-0.0121621177753352","-0.288029719655552","0.263705484104881","0.931141669613056","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","smoking"
"-0.384156638137379","-0.692095604902735","-0.0762176713720241","0.0144822927284604","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","pm2_5"
"-0.503220325581457","-0.809537532906443","-0.19690311825647","0.00128260237598593","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","pm10"
"-0.253554160422461","-0.553500493709739","0.0463921728648167","0.0975559136013451","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","Obesity"
"0.05700163951483","-0.234564949520214","0.348568228549874","0.701589675581962","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","ACETOCHLOR"
"-0.161404502183238","-0.445345522872651","0.122536518506174","0.265223719541658","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","dicamba"
"-0.154966127235624","-0.439046803683996","0.129114549212749","0.284997052532652","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","Alcohol"
"0.371180210581784","0.06841533210034","0.673945089063228","0.0162676741900535","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","coffee"
"0.64810570222015","0.321301544678354","0.974909859761946","0.000101521356395552","EMTAB3027,EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","smoking_sm13"
"-0.336056768902123","-0.629170076263117","-0.0429434615411285","0.0246327103253958","EMTAB7036,GSE101764,GSE131013,GSE199057,GSE39958,GSE42752,GSE77954,READ","BMI"
