"Beta","CI_L","CI_H","pval","study","name","SampleID"
-0.462426043684098,-1.01474801891223,0.089895931544037,0.100805672618415,"GSE39958,READ","ATRAZINE","P1E5"
-0.357136895089232,-0.943011393610461,0.228737603431998,0.232183456843361,"GSE39958,READ","BMI","P1E5"
0.0766328319933379,-0.514197175469052,0.667462839455727,0.799329802296757,"GSE39958,READ","ACETOCHLOR","P1E5"
-0.163574827596515,-0.70398472874257,0.37683507354954,0.553010639582974,"GSE39958,READ","MDS","P1E5"
0.307352253799277,-0.246465602376381,0.861170109974935,0.27671826567653,"GSE39958,READ","dicamba","P1E5"
0.267637060802029,-0.290081460951468,0.825355582555526,0.346938415885679,"GSE39958,READ","CHLORDANE","P1E5"
-0.558200099794776,-1.15046261161516,0.0340624120256099,0.0647120980266526,"GSE39958,READ","pm2_5","P1E5"
0.224918145809344,-0.332613436226714,0.782449727845401,0.429128243561869,"GSE39958,READ","MESOTRIONE","P1E5"
-0.0349879417508376,-0.581579576296819,0.511603692795144,0.90015979675435,"GSE39958,READ","A_2_4_D","P1E5"
0.0857446293253044,-0.49624629075844,0.667735549409049,0.772764140347181,"GSE39958,READ","TOXAPHENE","P1E5"
-0.144445349661067,-0.689904236044186,0.401013536722053,0.603742176818245,"GSE39958,READ","LINDANE","P1E5"
-0.0867992033454675,-0.643130258256447,0.469531851565512,0.759760656946711,"GSE39958,READ","HEPTACHLOR","P1E5"
-0.0967333392908157,-0.663523548282472,0.470056869700841,0.737998914873843,"GSE39958,READ","METOLACHLOR","P1E5"
-0.183183200441882,-0.816515307268741,0.450148906384977,0.570785874642757,"GSE39958,READ","pm2_510","P1E5"
-0.0479039299118774,-0.589063655892341,0.493255796068587,0.862260221724414,"GSE39958,READ","NO2","P1E5"
-0.104143696218701,-0.667545738321758,0.459258345884355,0.717131393968212,"GSE39958,READ","smoking","P1E5"
-0.50982342846497,-1.11252571605425,0.0928788591243059,0.0973324821183534,"GSE39958,READ","pm10","P1E5"
0.0771862069892171,-0.468053057700864,0.622425471679298,0.781426775889334,"GSE39958,READ","MALATHION","P1E5"
-0.156922353305787,-0.804949223594247,0.491104516982673,0.635062636324555,"GSE39958,READ","DDT","P1E5"
-0.20684760879653,-0.760345125303989,0.346649907710929,0.463888870958313,"GSE39958,READ","AHEI","P1E5"
-0.557763403738666,-1.56639620751673,0.450869400039402,0.278435920002712,"GSE39958,READ","PCB","P1E5"
0.0674791226026381,-0.466457340556523,0.601415585761799,0.804365679618421,"GSE39958,READ","birthweight","P1E5"
0.0287786528478909,-0.522187717216992,0.579745022912774,0.918459111543721,"GSE39958,READ","Alcohol","P1E5"
