"Estimate","Std..Error","z.value","Pr...z..","CI_l","CI_H","study","name"
0.637237251800028,0.398507224990151,1.59906072422094,0.109807110527618,-0.0989938725231474,1.49599741532434,"READ","pm2_5"
-0.41457157570113,0.395735746174008,-1.04759698791233,0.294824325804311,-1.25118715336448,0.322628950374632,"READ","pm2_510"
-0.15228885383954,0.33911456260753,-0.449077894704835,0.653375466089635,-0.848223709429358,0.505939025203086,"READ","NO2"
-0.0375685537331039,0.347364706142027,-0.108153053746754,0.91387428411952,-0.739550319083283,0.647721163713893,"READ","cannabis"
-0.947891739652872,0.712385509825236,-1.33058818094912,0.183324553568139,-2.57581118108154,0.334208845128491,"READ","PCB"
0.39508368193614,0.358041741174933,1.10345704564963,0.269828735361824,-0.278768044811679,1.16299045006241,"READ","PICLORAM"
-0.381392890082812,0.346944163587124,-1.09929184609856,0.271640787810203,-1.08863638592545,0.294252205542119,"READ","LINDANE"
-0.318139546651466,0.329776447721193,-0.964712758748724,0.334688702944184,-0.988744840020319,0.343239450016779,"READ","ATRAZINE"
-0.413191418931777,0.458314088192972,-0.901546405786689,0.367297871892857,-1.59704500097924,0.35388771065068,"READ","DDT"
-0.28140328708403,0.357303146574269,-0.787575731649867,0.430944914587745,-1.02390680149886,0.396683178604639,"READ","AHEI"
0.23698701404252,0.340825935226643,0.695331515440361,0.486847568203592,-0.439110262080967,0.924620639932274,"READ","dicamba"
-0.21935333632231,0.359730602482746,-0.609771130975244,0.542013427709974,-0.972558746253091,0.46850440163414,"READ","ACETOCHLOR"
0.179950246559372,0.345258812873211,0.521203919638845,0.602224723940239,-0.499350631120436,0.891020687014249,"READ","CHLORDANE"
-0.162766340893456,0.346356446158979,-0.469938823713261,0.6383987256313,-0.867907138245936,0.521450117515768,"READ","BMI"
-0.137329051026051,0.331661775090696,-0.414063547083463,0.67882756839507,-0.813294597577221,0.51546371628475,"READ","Obesity"
0.131839158460931,0.350655094402972,0.375979589531992,0.706932069851356,-0.549381463111512,0.863364412722627,"READ","MESOTRIONE"
0.11453435642417,0.34953086037209,0.327680240600911,0.743153444965049,-0.570526395747918,0.825504129387942,"READ","A_2_4_D"
0.0792321084680743,0.33975479023709,0.233203800931795,0.815603154497576,-0.583196768151999,0.774653370140112,"READ","birthweight"
-0.0736401451040942,0.369033511392991,-0.199548666532003,0.84183357835193,-0.820979622897616,0.65291841538734,"READ","smoking"
0.0555231334034916,0.35063898283964,0.158348432777893,0.874182245687428,-0.609505634768141,0.800477795499046,"READ","GLYPHOSATE"
0.0525913594101943,0.348574916440271,0.150875341080964,0.880074052756658,-0.645855297870506,0.749779857059953,"READ","MALATHION"
0.0188179232744953,0.354031536377193,0.0531532401521607,0.957609811864659,-0.706421405860033,0.710752340917774,"READ","Alcohol"
-0.0129449862284532,0.335553951916937,-0.0385779578947043,0.969226876259988,-0.690449409567072,0.650686767392367,"READ","MDS"
-0.010416405072908,0.342919608719181,-0.0303756472597578,0.975767466563113,-0.701280459016798,0.665133638450625,"READ","TOXAPHENE"
0.00709160364066409,0.337229982459822,0.021028983214768,0.983222535522509,-0.665623495634341,0.683137553929635,"READ","HEPTACHLOR"
0.00588699168630443,0.371866740971051,0.0158309174704137,0.987369282949947,-0.729576406002681,0.75557123125064,"READ","METOLACHLOR"
