"Estimate","Std. Error","z value","Pr(>|z|)","CI_l","CI_H","study","N","name"
-0.971936736403856,0.413748055660313,-2.34910284920303,0.0188187078887563,-1.87753589611783,-0.221196267056306,"READ",1,"pm10"
-0.836183860257149,0.386982676019001,-2.16077853628799,0.0307124508369825,-1.65699705248437,-0.115097723742675,"READ",1,"pm2_5"
0.584285360735067,0.391492587513971,1.49245574340336,0.135579711019075,-0.131091123208437,1.43138527331401,"READ",1,"METOLACHLOR"
0.539905943609723,0.383460362543882,1.40798370926262,0.159135893902938,-0.179871206883427,1.38241083953344,"READ",1,"smoking_sm13"
0.527475418678493,0.376201370766128,1.4021092416657,0.160882627771156,-0.174481287521407,1.32926945200348,"READ",1,"coffee"
-0.519492135045897,0.370788233136313,-1.40104806091545,0.161199701654506,-1.31143396361459,0.183407316504287,"READ",1,"MDS"
-0.871188628161801,0.637182840699139,-1.36725061083864,0.171546766602409,-2.26261000301542,0.316634777693004,"READ",1,"PCB"
-0.480213332935292,0.375655142229651,-1.27833557684064,0.201131128705412,-1.2868782812161,0.219653167757578,"READ",1,"AHEI"
0.330703955628999,0.344121273714338,0.961009913916343,0.336547183088609,-0.337231217751805,1.04070510010901,"READ",1,"PICLORAM"
0.292195167254731,0.385835304603199,0.757305419614802,0.448866904725835,-0.424402884917923,1.12795363377249,"READ",1,"NO2"
-0.264659281192828,0.350380954674907,-0.75534722324844,0.450040671045213,-0.982007443712768,0.418861172887757,"READ",1,"education"
-0.202189141204811,0.34184913092273,-0.591457233367994,0.554214101995409,-0.896807474122343,0.478141782626081,"READ",1,"BMI"
-0.149707612129426,0.346165813087765,-0.432473706152693,0.665397158570338,-0.860205787576406,0.532119584039822,"READ",1,"ACETOCHLOR"
0.12550412654557,0.340783225659182,0.368281409106347,0.712663413279197,-0.534793085622808,0.830440488144384,"READ",1,"Obesity"
0.104695284319673,0.366221434201539,0.285879728880254,0.774970240107452,-0.619008660103879,0.84870857391087,"READ",1,"smoking"
-0.0387708612996558,0.369573608960325,-0.104907007317771,0.91644959861812,-0.801043387971748,0.678107748858404,"READ",1,"Alcohol"
0.0271032532169298,0.350384354614427,0.07735292075685,0.938342792304084,-0.642388261049082,0.76769248148616,"READ",1,"MESOTRIONE"
0.016805522376433,0.331321486631165,0.0507227060560105,0.959546483119312,-0.64874367020657,0.686731819305085,"READ",1,"HEPTACHLOR"
0.00433975112359026,0.337949497729977,0.0128414190662823,0.989754311578148,-0.678317451562286,0.689919079948822,"READ",1,"dicamba"
